substrate	product	barrier	heat
C/C1=C/CC/C(C)=C/C[C@H]([C+](C)C)CC1	C=C[C@]1(C)CC[C@H]1[C+](C)CCC=C(C)C	25.814	9.799
C[C+]1[C@@H]2CC[C@]3(C2)[C@@H](C)CC[C@@H]3C1(C)C	C[C@H]1CC[C+]2C(C)(C)[C@H](C)[C@@H]3CC[C@@]21C3	5.2	-5.645
C[C+]1CC[C@H]2[C@@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	C/C1=C\CC[C+](C)[C@@H]2CC(C)(C)[C@H]2CC1	19.262	10.851
C[C@@H]1CC[C@@]23CC[C@@H]([C@H]2C)C(C)(C)C[C+]13	C[C@@H]1CC[C+]2CC[C@H]3[C@@H](C)[C@]21CC3(C)C	11.225	2.848
CC[C+]1CC[C@H]2[C@H](C)CC[C@@H](C)[C@@]2(C)C1	C[C@H]1[C+]2CC[C@H]3[C@]1(C)CC[C@@H](C)[C@@]3(C)C2	10.121	-36.478
CC1=C[C@H]2[C@@H](CC1)[C+](C)CC[C@H]2C(C)C	CC1=C[C@@H]2[C+](C(C)C)CC[C@H](C)[C@@H]2CC1	13.175	1.737
C[C+](C)[C@]12[C@@H]3CC[C@@]1(C)CC[C@H](C)[C@H]2C3	C[C@H]1CC[C@]2(C)CC[C@@H]3C[C@H]1[C+]2C3(C)C	4.644	2.148
CC(C)=C[CH+]C[C@H](C)[C@H]1CC[C@@]2(C)C[C@@H]12	CC(C)=C[C@H]1C[C@H](C)[C@H]2CC[C+](C)[C@H]2C1	0.931	-16.957
C[C@H]1CC[C+]2CC[C@H]3C[C@]21[C@H]3C(C)(C)C	C[C@H]1CC[C@@]23CC[C@@H](C2)[C@H](C(C)(C)C)[C+]13	1.421	-5.505
CC(C)=C[C@@H](C)[C+]1C[C@@]2(C)CCC[C@@H]1C2	CC(C)=C[C+](C)[C@H]1C[C@@]2(C)CCC[C@@H]1C2	3.76	-16.908
CC1=C[CH+][C@]2(CC1)[C@@H](C)CC[C@@H]2C(C)C	CC1=CC=C([C@@H](C)CCC[C+](C)C)CC1	109.563	-0.433
C[C@H]1CC[C@@]2(C)CC[C@@]3(C)CC[C@@]1(C)[C+]23	C[C+]1CC[C@]2(C)CC[C@]3(C)CC[C@H](C)[C@]132	7.47	-1.337
CC(C)=C[CH+]C[C@]1(C)CC=C(C)CCC1	CC(C)=CCC[C@@]1(C)[CH+]CCC(C)=CC1	9.608	0.057
C[C+]1[C@H]2CC[C@H](C2)[C@]2(C)CC[C@]12C(C)C	CC(C)[C+]1[C@]2(C)CC[C@@]1(C)[C@@H]1CC[C@H]2C1	1.337	-9.613
C[C+]1CC[C@@H]2[C@H]1CC(C)(C)[C@H]1CC[C@@]21C	C[C+]1CC[C@H]2[C@@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	0.053	-18.315
C=C(C)CCC[C+](C)[C@H]1CC=C(C)CC1	CC1=CC[C@H]([C@]2(C)CCC[C+](C)C2)CC1	0.618	-26.512
CC(C)=C1[CH+]C[C@@H](C)[C@@H]2CC[C@@H](C)[C@@H]2C1	C[C@@H]1CC[C@@H]2[C@H]1C[C+]1[C@@H](C[C@H]2C)C1(C)C	23.103	23.102
CC(C)=CCC[C@H]1CC[C+](C)[C@@H]2C[C@@]21C	CC(C)=CCC[C@H]1CC[C@]2(C)[CH+]C[C@]12C	23.726	23.332
